Model,FLOPs,Memory (MB)
Original Model_JF,32595197952.0,756.73828125
Stage 4_Kevin,29818699776.0,681.36328125
Stage 4-5_JF,29818699776.0,681.36328125
Stage 4-5_Kevin,29818699776.0,681.36328125
Stage 4 last 2 conv_JF,32595197952.0,698.61328125
Stage 2-5_JF,31417122816.0,593.61328125
Stage 2-5_Kevin,31417122816.0,593.61328125
Stage 4 last 2 conv_Kevin,32595197952.0,698.61328125
Stage 2_JF,31417122816.0,593.61328125
Stage 3 last 2 conv_Kevin,32595197952.0,698.61328125
Stage 1-5_JF,31827640320.0,626.61328125
