Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_Kevin,0.884107434337439,1.0,1.0,0.8261323666641611,1.0
Stage 4_JF,0.9953999109660189,0.0,0.0,0.47227293250684843,0.5379310344827586
Original Model_JF,1.0,1.0,1.0,0.8622048751258192,1.0
Last 2_JF,0.9440569817480334,0.0,0.0,0.5310540222670856,0.5379310344827586
Last 2_Kevin,0.8544294405698173,0.0,0.0,0.5336286632770589,0.5379310344827586
Stage 2-5_JF,0.0,0.976703016569891,0.5756974932729075,0.4034339467673311,0.0
Stage 4-5_JF,0.999258050155809,0.0,0.0,0.0,0.5379310344827586
Stage 4-5_Kevin,0.8619973289805609,0.0,0.0,0.27548075690260876,0.5379310344827586
Stage 3-5_JF,0.8073898204481375,0.8291318510126044,0.3165274040504178,0.7746308568862911,0.4689655172413793
Stage 1-5_JF,0.7403175545333136,0.9956804985129585,0.7235519048293443,0.2550591458337746,0.20229885057471264
Stage 2 last 2 conv_JF,0.15017064846416386,0.9790988056460369,0.6655808903365906,0.6920582523143596,0.5149425287356322
Stage 4 first 2 conv_JF,0.8688232675471138,1.0,1.0,0.9115624081312239,0.6436781609195402
Stage 2 last 2 conv_Kevin,0.11084730672206555,0.9790988056460369,0.6655808903365906,0.9130070713315316,0.5149425287356322
Stage 1 last 2 conv_Kevin,0.6784389375278229,0.9961407732615777,0.7530094887409715,1.0,0.42298850574712643
