Model,Params,Time,Accuracy
Last 2_JF,10193706,0.019778960037231445,69.01
Last 2_Kevin,10193706,0.010966150331497195,67.17
Original Model_JF,11481338,0.0215090672492981,69.022
Original Model_Kevin,11481338,0.011263110327720642,67.286
Stage 1 first 2 conv_JF,11476706,0.02136899032592773,66.298
Stage 1 first 2 conv_Kevin,11476706,0.01117423050403595,63.702
Stage 1 last 2 conv_JF,11476418,0.021443572854995728,66.712
Stage 1 last 2 conv_Kevin,11476418,0.01147867205142975,64.034
Stage 1-5_JF,11476082,0.010989767980575563,66.268
Stage 1-5_Kevin,11476082,0.020221921443939212,63.512
Stage 3 first 2 conv_JF,11481714,0.022167247819900513,61.624
Stage 3 first 2 conv_Kevin,11481714,0.02167867202758789,61.366
Stage 3 last 2 conv_JF,11493042,0.02257002878189087,68.044
Stage 3 last 2 conv_Kevin,11493042,0.02079807367324829,66.462
Stage 3-5_JF,11261394,0.021095371103286745,66.178
Stage 3-5_Kevin,11261394,0.010972038340568544,64.666
Stage 3_JF,11261394,0.010932743978500366,66.11
Stage 3_Kevin,11261394,0.021095160007476806,64.716
Stage 4 first 2 conv_JF,11485050,0.011270096015930176,67.39
Stage 4 first 2 conv_Kevin,11485050,0.022421460819244385,66.19
Stage 4 last 2 conv_JF,11549418,0.0212187198638916,69.196
Stage 4 last 2 conv_Kevin,11549418,0.011334588694572446,67.416
Stage 4-5_JF,10193706,0.010750454258918761,69.344
Stage 4-5_Kevin,10193706,0.01987977910041809,67.41
Stage 4_JF,10193706,0.02101957926750183,69.278
Stage 4_Kevin,10193706,0.019739329576492312,67.41
