Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
ConvNeXt,TinyImageNet,Set_0,False,"['features.2.1.pwconv1', 'features.2.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_1,False,"['features.2.2.pwconv1', 'features.3.1']",,,,
ConvNeXt,TinyImageNet,Set_2,False,"['features.4.1.pwconv1', 'features.4.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_3,False,"['features.4.2.pwconv1', 'features.4.2.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_4,False,"['features.4.3.pwconv1', 'features.4.3.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_5,False,"['features.4.4.pwconv1', 'features.4.4.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_6,False,"['features.4.5.pwconv1', 'features.4.5.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_7,False,"['features.4.6.pwconv1', 'features.4.6.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_8,False,"['features.4.7.pwconv1', 'features.4.7.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_9,False,"['features.4.8.pwconv1', 'features.6.0.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_10,False,"['features.6.1.dwconv', 'features.6.1.pwconv1']",,,,
ConvNeXt,TinyImageNet,Dynamic_Region_All_Combined,False,"[['features.2.1.pwconv1', 'features.2.1.pwconv2'], ['features.2.2.pwconv1', 'features.3.1'], ['features.4.1.pwconv1', 'features.4.1.pwconv2'], ['features.4.2.pwconv1', 'features.4.2.pwconv2'], ['features.4.3.pwconv1', 'features.4.3.pwconv2'], ['features.4.4.pwconv1', 'features.4.4.pwconv2'], ['features.4.5.pwconv1', 'features.4.5.pwconv2'], ['features.4.6.pwconv1', 'features.4.6.pwconv2'], ['features.4.7.pwconv1', 'features.4.7.pwconv2'], ['features.4.8.pwconv1', 'features.6.0.pwconv1'], ['features.6.1.dwconv', 'features.6.1.pwconv1']]",-27.142000000000003,96.98585053911629,79.12276748579046,52.054894358241796
ConvNeXt,TinyImageNet,Control (Continued),False,None,0.0,0.0,0.0,0.0
ConvNeXt,TinyImageNet,Set_0,True,"['features.2.1.pwconv1', 'features.2.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_1,True,"['features.2.2.pwconv1', 'features.3.1']",,,,
ConvNeXt,TinyImageNet,Set_2,True,"['features.4.1.pwconv1', 'features.4.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_3,True,"['features.4.2.pwconv1', 'features.4.2.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_4,True,"['features.4.3.pwconv1', 'features.4.3.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_5,True,"['features.4.4.pwconv1', 'features.4.4.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_6,True,"['features.4.5.pwconv1', 'features.4.5.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_7,True,"['features.4.6.pwconv1', 'features.4.6.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_8,True,"['features.4.7.pwconv1', 'features.4.7.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_9,True,"['features.4.8.pwconv1', 'features.6.0.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_10,True,"['features.6.1.dwconv', 'features.6.1.pwconv1']",,,,
ConvNeXt,TinyImageNet,Dynamic_Region_All_Combined,True,"[['features.2.1.pwconv1', 'features.2.1.pwconv2'], ['features.2.2.pwconv1', 'features.3.1'], ['features.4.1.pwconv1', 'features.4.1.pwconv2'], ['features.4.2.pwconv1', 'features.4.2.pwconv2'], ['features.4.3.pwconv1', 'features.4.3.pwconv2'], ['features.4.4.pwconv1', 'features.4.4.pwconv2'], ['features.4.5.pwconv1', 'features.4.5.pwconv2'], ['features.4.6.pwconv1', 'features.4.6.pwconv2'], ['features.4.7.pwconv1', 'features.4.7.pwconv2'], ['features.4.8.pwconv1', 'features.6.0.pwconv1'], ['features.6.1.dwconv', 'features.6.1.pwconv1']]",-27.302000000000007,96.98585053911629,79.12276748579046,75.57266651604486
ConvNeXt,TinyImageNet,Control (Continued),True,None,-0.012000000000000455,0.0,0.0,49.965016872071075
