Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
RegNetX_400MF,TinyImageNet,Set_0,False,"['stage3.stage3_block2.block.conv2', 'stage3.stage3_block2.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_1,False,"['stage3.stage3_block3.block.conv2', 'stage3.stage3_block3.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_2,False,"['stage3.stage3_block4.block.conv2', 'stage3.stage3_block4.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_3,False,"['stage3.stage3_block5.block.conv2', 'stage3.stage3_block5.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_4,False,"['stage3.stage3_block6.block.conv2', 'stage3.stage3_block6.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_5,False,"['stage4.stage4_block0.block.conv2', 'stage4.stage4_block0.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_6,False,"['stage4.stage4_block1.block.conv2', 'stage4.stage4_block3.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Set_7,False,"['stage4.stage4_block4.block.conv1', 'stage4.stage4_block4.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Set_8,False,"['stage4.stage4_block6.block.conv1', 'stage4.stage4_block6.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Set_9,False,"['stage4.stage4_block9.block.conv1', 'stage4.stage4_block9.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Set_10,False,"['stage4.stage4_block10.block.conv1', 'stage4.stage4_block10.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Set_11,False,"['stage4.stage4_block11.block.conv1', 'stage4.stage4_block11.block.conv2']",,,,
RegNetX_400MF,TinyImageNet,Dynamic_Region_All_Combined,False,"[['stage3.stage3_block2.block.conv2', 'stage3.stage3_block2.block.conv3'], ['stage3.stage3_block3.block.conv2', 'stage3.stage3_block3.block.conv3'], ['stage3.stage3_block4.block.conv2', 'stage3.stage3_block4.block.conv3'], ['stage3.stage3_block5.block.conv2', 'stage3.stage3_block5.block.conv3'], ['stage3.stage3_block6.block.conv2', 'stage3.stage3_block6.block.conv3'], ['stage4.stage4_block0.block.conv2', 'stage4.stage4_block0.block.conv3'], ['stage4.stage4_block1.block.conv2', 'stage4.stage4_block3.block.conv2'], ['stage4.stage4_block4.block.conv1', 'stage4.stage4_block4.block.conv2'], ['stage4.stage4_block6.block.conv1', 'stage4.stage4_block6.block.conv2'], ['stage4.stage4_block9.block.conv1', 'stage4.stage4_block9.block.conv2'], ['stage4.stage4_block10.block.conv1', 'stage4.stage4_block10.block.conv2'], ['stage4.stage4_block11.block.conv1', 'stage4.stage4_block11.block.conv2']]",-13.774000000000001,27.967515081929896,15.14287043209972,9.23824787458739
RegNetX_400MF,TinyImageNet,Control (Continued),False,None,,,,
RegNetX_400MF,TinyImageNet,Set_0,True,"['stage3.stage3_block2.block.conv2', 'stage3.stage3_block2.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_1,True,"['stage3.stage3_block3.block.conv2', 'stage3.stage3_block3.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_2,True,"['stage3.stage3_block4.block.conv2', 'stage3.stage3_block4.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_3,True,"['stage3.stage3_block5.block.conv2', 'stage3.stage3_block5.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_4,True,"['stage3.stage3_block6.block.conv2', 'stage3.stage3_block6.block.conv3']",,,,
RegNetX_400MF,TinyImageNet,Set_5,True,"['stage4.stage4_block0.block.conv2', 'stage4.stage4_block0.block.conv3']",,,,
