model,dataset,attack,n_original,n_finetuned,mean_asr_original,std_asr_original,mean_asr_finetuned,std_asr_finetuned,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
ConvNeXt,Cifar100|epochs100_pretrain300,APGD,1,1,0.9714,,0.9985,,0.027100000000000013,,,,False,0.027100000000000013
ConvNeXt,Cifar100|epochs100_pretrain300,BIM,1,2,0.7839,,0.99665,0.0006363961030679012,0.21275,,,,False,0.21275
ConvNeXt,Cifar100|epochs100_pretrain300,CW,1,1,0.9975,,1.0,,0.0024999999999999467,,,,False,0.0024999999999999467
ConvNeXt,Cifar100|epochs100_pretrain300,FGSM,1,1,0.9121,,0.9915,,0.07940000000000003,,,,False,0.07940000000000003
ConvNeXt,Cifar100|epochs100_pretrain300,PGD,1,1,0.9524,,0.997,,0.04459999999999997,,,,False,0.04459999999999997
ConvNeXt,Cifar100|epochs200_pretrain200,APGD,1,1,0.9714,,0.9993,,0.027899999999999925,,,,False,0.027899999999999925
ConvNeXt,Cifar100|epochs200_pretrain200,BIM,2,2,0.7729,0.0,0.99595,7.071067811864696e-05,0.22304999999999997,4461.000000000491,0.0001427078596063983,,True,0.22304999999999997
ConvNeXt,Cifar100|epochs200_pretrain200,CW,1,1,0.9979,,0.9999,,0.0020000000000000018,,,,False,0.0020000000000000018
ConvNeXt,Cifar100|epochs200_pretrain200,FGSM,1,1,0.9112,,0.9921,,0.08089999999999997,,,,False,0.08089999999999997
ConvNeXt,Cifar100|epochs200_pretrain200,PGD,1,1,0.9517,,0.9961,,0.044399999999999995,,,,False,0.044399999999999995
ConvNeXt,Cifar100|epochs300_pretrain100,APGD,1,1,0.9685,,0.999,,0.03049999999999997,,,,False,0.03049999999999997
ConvNeXt,Cifar100|epochs300_pretrain100,BIM,2,2,0.76875,7.071067811872547e-05,0.9941,0.0,0.22534999999999994,4506.9999999954925,0.00014125133390756756,,True,0.22534999999999994
ConvNeXt,Cifar100|epochs300_pretrain100,CW,1,1,0.9984,,0.9998,,0.0014000000000000679,,,,False,0.0014000000000000679
ConvNeXt,Cifar100|epochs300_pretrain100,FGSM,1,1,0.9049,,0.9905,,0.08560000000000001,,,,False,0.08560000000000001
ConvNeXt,Cifar100|epochs300_pretrain100,PGD,1,1,0.9489,,0.9961,,0.04720000000000002,,,,False,0.04720000000000002
ConvNeXt,Cifar100|epochs3_pretrain3,APGD,1,1,0.9792,,0.9946,,0.01540000000000008,,,,False,0.01540000000000008
ConvNeXt,Cifar100|epochs3_pretrain3,BIM,2,2,0.84905,7.071067811864696e-05,0.9948,0.00028284271247458785,0.14575000000000005,971.666666666774,0.0006551830678610058,,True,0.14575000000000005
ConvNeXt,Cifar100|epochs3_pretrain3,CW,1,1,0.9752,,0.9958,,0.020600000000000063,,,,False,0.020600000000000063
ConvNeXt,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9593,,0.9921,,0.03279999999999994,,,,False,0.03279999999999994
ConvNeXt,Cifar100|epochs3_pretrain3,PGD,1,1,0.9622,,0.9891,,0.026899999999999924,,,,False,0.026899999999999924
ConvNeXt,Cifar10_epochs100_pretrain300,FGSM,1,1,0.7058,,0.9496,,0.24380000000000002,,,,False,0.24380000000000002
ConvNeXt,Cifar10_epochs200_pretrain200,FGSM,1,1,0.6895,,0.9216,,0.23209999999999997,,,,False,0.23209999999999997
ConvNeXt,Cifar10_epochs300_pretrain100,FGSM,1,1,0.692,,0.9359,,0.2439,,,,False,0.2439
ConvNeXt,Cifar10_epochs3_pretrain3,FGSM,1,1,0.8212,,0.9496,,0.12839999999999996,,,,False,0.12839999999999996
ConvNeXt,Cifar10|epochs100_pretrain300,APGD,1,1,0.8749,,0.9916,,0.11670000000000003,,,,False,0.11670000000000003
ConvNeXt,Cifar10|epochs100_pretrain300,BIM,1,2,0.4539999999999999,,0.96135,0.008697413408594519,0.5073500000000002,,,,False,0.5073500000000002
ConvNeXt,Cifar10|epochs100_pretrain300,CW,1,1,0.9968,,0.9971,,0.00029999999999996696,,,,False,0.00029999999999996696
ConvNeXt,Cifar10|epochs100_pretrain300,DeepFool,1,1,0.9515,,0.9917,,0.040200000000000014,,,,False,0.040200000000000014
ConvNeXt,Cifar10|epochs100_pretrain300,PGD,1,1,0.8156,,0.9622,,0.14660000000000006,,,,False,0.14660000000000006
ConvNeXt,Cifar10|epochs200_pretrain200,APGD,1,1,0.8568,,0.9928,,0.136,,,,False,0.136
ConvNeXt,Cifar10|epochs200_pretrain200,BIM,1,2,0.4341,,0.96865,0.0010606601717798615,0.5345500000000001,,,,False,0.5345500000000001
ConvNeXt,Cifar10|epochs200_pretrain200,CW,1,1,0.9968,,0.9906,,-0.006199999999999983,,,,False,0.006199999999999983
ConvNeXt,Cifar10|epochs200_pretrain200,DeepFool,1,1,0.9505,,0.9732,,0.022699999999999942,,,,False,0.022699999999999942
ConvNeXt,Cifar10|epochs200_pretrain200,PGD,1,1,0.8022,,0.9124,,0.11019999999999996,,,,False,0.11019999999999996
ConvNeXt,Cifar10|epochs300_pretrain100,APGD,1,1,0.8568,,0.9908,,0.134,,,,False,0.134
