Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
ConvNeXt,TinyImageNet,Set_0,False,"['features.2.1.pwconv1', 'features.2.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_1,False,"['features.2.2.pwconv1', 'features.3.1']",,,,
ConvNeXt,TinyImageNet,Set_2,False,"['features.4.1.pwconv1', 'features.4.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_3,False,"['features.4.2.pwconv1', 'features.4.2.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_4,False,"['features.4.3.pwconv1', 'features.4.3.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_5,False,"['features.4.4.pwconv1', 'features.4.4.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_6,False,"['features.4.5.pwconv1', 'features.4.5.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_7,False,"['features.4.6.pwconv1', 'features.4.6.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_8,False,"['features.4.8.pwconv1', 'features.6.0.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_9,False,"['features.6.1.dwconv', 'features.6.1.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_10,False,"['features.6.2.dwconv', 'features.6.2.pwconv1']",,,,
ConvNeXt,TinyImageNet,Dynamic_Region_All_Combined,False,"[['features.2.1.pwconv1', 'features.2.1.pwconv2'], ['features.2.2.pwconv1', 'features.3.1'], ['features.4.1.pwconv1', 'features.4.1.pwconv2'], ['features.4.2.pwconv1', 'features.4.2.pwconv2'], ['features.4.3.pwconv1', 'features.4.3.pwconv2'], ['features.4.4.pwconv1', 'features.4.4.pwconv2'], ['features.4.5.pwconv1', 'features.4.5.pwconv2'], ['features.4.6.pwconv1', 'features.4.6.pwconv2'], ['features.4.8.pwconv1', 'features.6.0.pwconv1'], ['features.6.1.dwconv', 'features.6.1.pwconv1'], ['features.6.2.dwconv', 'features.6.2.pwconv1']]",-22.857,96.98585053911629,79.12276748579046,4.176832598958525
ConvNeXt,TinyImageNet,Set_0,True,"['features.2.1.pwconv1', 'features.2.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_1,True,"['features.2.2.pwconv1', 'features.3.1']",,,,
ConvNeXt,TinyImageNet,Set_2,True,"['features.4.1.pwconv1', 'features.4.1.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_3,True,"['features.4.2.pwconv1', 'features.4.2.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_4,True,"['features.4.3.pwconv1', 'features.4.3.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_5,True,"['features.4.4.pwconv1', 'features.4.4.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_6,True,"['features.4.5.pwconv1', 'features.4.5.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_7,True,"['features.4.6.pwconv1', 'features.4.6.pwconv2']",,,,
ConvNeXt,TinyImageNet,Set_8,True,"['features.4.8.pwconv1', 'features.6.0.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_9,True,"['features.6.1.dwconv', 'features.6.1.pwconv1']",,,,
ConvNeXt,TinyImageNet,Set_10,True,"['features.6.2.dwconv', 'features.6.2.pwconv1']",,,,
ConvNeXt,TinyImageNet,Dynamic_Region_All_Combined,True,"[['features.2.1.pwconv1', 'features.2.1.pwconv2'], ['features.2.2.pwconv1', 'features.3.1'], ['features.4.1.pwconv1', 'features.4.1.pwconv2'], ['features.4.2.pwconv1', 'features.4.2.pwconv2'], ['features.4.3.pwconv1', 'features.4.3.pwconv2'], ['features.4.4.pwconv1', 'features.4.4.pwconv2'], ['features.4.5.pwconv1', 'features.4.5.pwconv2'], ['features.4.6.pwconv1', 'features.4.6.pwconv2'], ['features.4.8.pwconv1', 'features.6.0.pwconv1'], ['features.6.1.dwconv', 'features.6.1.pwconv1'], ['features.6.2.dwconv', 'features.6.2.pwconv1']]",-22.777,96.98585053911629,79.12276748579046,51.17949091438767
ConvNeXt,TinyImageNet,Control (Continued),True,None,0.11200000000000898,0.0,0.0,0.0
