source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8773,0.2849,0.1792,0.185,0.2559,0.2561,0.3235,0.1259,0.1192999999999999,0.1488,0.1665999999999999
ConvNeXt (Original),0.8693,0.8749,0.4576,0.4604,0.5925,0.5882000000000001,0.6581,0.3731,0.3647,0.406,0.426
InceptionNet (Finetuned),0.8717,0.6027,0.8208,0.5637,0.6208,0.6209,0.6626000000000001,0.4516,0.4453,0.4867,0.5005999999999999
InceptionNet (Original),0.871,0.6032,0.5482,0.8446,0.6186,0.6177,0.6678,0.4417999999999999,0.4376,0.4831999999999999,0.4989
MobileNet (Original),0.8643000000000001,0.6101,0.4818,0.4878,0.9445,0.6394,0.7101,0.41,0.3983,0.4398999999999999,0.4651999999999999
RegNetX_400MF (Finetuned),0.8698,0.6149,0.4869,0.491,0.6482,0.9101,0.7378,0.4212,0.4043,0.4452,0.4781999999999999
RegNetX_400MF (Original),0.8679,0.5900000000000001,0.4463,0.4506,0.6078,0.6283000000000001,0.9584,0.3752,0.3649,0.4024,0.4301
VGG16 (Finetuned),0.8724000000000001,0.6225,0.5278,0.5255000000000001,0.637,0.6423,0.6965,0.9498,0.5638000000000001,0.4862999999999999,0.5087999999999999
VGG16 (Original),0.8717,0.6072,0.5315,0.5298,0.6232,0.6272,0.6805,0.6196999999999999,0.8882,0.4991,0.5182
XceptionNet (Finetuned),0.8694999999999999,0.6054999999999999,0.5365,0.5423,0.6359,0.631,0.6755,0.4774,0.4733,0.8398,0.5665
XceptionNet (Original),0.8723,0.6095999999999999,0.5263,0.5299,0.6396,0.6416,0.6864,0.4686,0.4624,0.5301,0.8838
